Rent_At_Level,Gap,Total,At_This_Level,Vacant,Substandard,Substandard_Vacant,eli_old,vli_old,li_old,Gap_No_Assisted,Per100,Per100_No_Assisted,county,eli,vli,li
Extremely low (0-30% AMI),890.1993281,1288.058231,386.6965286,60.19708847,26.31131019,22.72340426,601.04,269.65,52.31,1362.1993281,30.88826989,-5.756036126,19057,472,257,45
Very low (31-50%),-151.4893617,920.0985442,884.2194849,279.0593505,0,91.69092945,601.04,269.65,52.31,105.5106383,116.4644714,88.532680661,19057,472,257,45
Low (51-80%),-259.1265398,794.5218365,788.9406495,264.7077268,0,0,601.04,269.65,52.31,-214.1265398,132.6141495,126.95036561,19057,472,257,45
Middle (81-120%),864.2866741,864.2866741,0,,0,,601.04,269.65,52.31,864.2866741,0,0,19057,472,257,45
High (over 120%),599.5789474,599.5789474,,,,,601.04,269.65,52.31,599.5789474,0,0,19057,472,257,45
Extremely low (0-30% AMI),222.7252475,344.1584158,98.35891089,23.07425743,0,0,112.42,31.64,1.94,295.7252475,35.28409091,14.07292865,19059,73,26,1
Very low (31-50%),-96.79455446,512.3267327,438.9975248,170.1237624,0,0,112.42,31.64,1.94,-70.79455446,118.8931298,113.81824331,19059,73,26,1
Low (51-80%),251.8613861,445.0594059,148.8094059,71.76485149,27.37623762,0,112.42,31.64,1.94,252.8613861,43.40949033,43.184801231,19059,73,26,1
Middle (81-120%),309.9381188,309.9381188,,,,,112.42,31.64,1.94,309.9381188,0,0,19059,73,26,1
High (over 120%),324.799505,337.1188119,73.32920792,,61.00990099,,112.42,31.64,1.94,324.799505,3.654292343,3.6542923341,19059,73,26,1
Extremely low (0-30% AMI),3086.939384,3316.08499,229.1456062,,0,,913.29,298.77,16.94,3752.939384,6.910124645,-13.17379969,19061,666,283,22
Very low (31-50%),-1945.562219,2287.105196,3758.423028,706.2905709,134.1516998,97.89448364,913.29,298.77,16.94,-1662.562219,185.0665821,172.69286178,19061,666,283,22
Low (51-80%),343.7184092,2859.244067,2515.525658,,0,,913.29,298.77,16.94,365.7184092,87.97869642,87.209262286,19061,666,283,22
Middle (81-120%),923.8338679,1019.552919,171.8592046,,76.14015395,,913.29,298.77,16.94,923.8338679,9.388335704,9.3883357417,19061,666,283,22
High (over 120%),1648.978191,1904.954137,870.8983323,257.4262348,614.9223861,257.4262348,913.29,298.77,16.94,1648.978191,13.43738104,13.437381039,19061,666,283,22
Extremely low (0-30% AMI),121.5434544,187.8107811,53.67546755,12.59185919,0,0,53.98,15.02,0,160.5434544,35.28409091,14.518509822,19063,39,16,
Very low (31-50%),-52.82178218,279.5819582,239.5654566,92.83828383,0,0,53.98,15.02,0,-36.82178218,118.8931298,113.17029984,19063,39,16,
Low (51-80%),137.4433443,242.8734874,81.20682068,39.16281628,14.93949395,0,53.98,15.02,0,137.4433443,43.40949033,43.40949036,19063,39,16,
Middle (81-120%),169.1364136,169.1364136,,,,,53.98,15.02,0,169.1364136,0,0,19063,39,16,
High (over 120%),177.2464246,183.9691969,40.01650165,,33.29372937,,53.98,15.02,0,177.2464246,3.654292343,3.6542923562,19063,39,16,
Extremely low (0-30% AMI),453.4364261,615.8762887,162.4398625,,0,,172.9,47.65,4.45,521.4364261,26.37540453,15.334226099,19065,68,21,3
Very low (31-50%),-383.2783505,454.8316151,724.9003436,148.4879725,35.27835052,0,172.9,47.65,4.45,-362.2783505,184.2681858,179.65109251,19065,68,21,3
Low (51-80%),395.0378007,504.0618557,109.024055,,0,,172.9,47.65,4.45,398.0378007,21.62910241,21.033937363,19065,68,21,3
Middle (81-120%),337.0378007,337.0378007,,,,,172.9,47.65,4.45,337.0378007,0,0,19065,68,21,3
High (over 120%),172.4054983,172.4054983,18.73539519,,18.73539519,,172.9,47.65,4.45,172.4054983,0,0,19065,68,21,3
Extremely low (0-30% AMI),299.2641721,603.9668385,298.2352678,6.467398611,0,0,239.84,98.72,25.44,468.2641721,50.4502312,22.468562469,19067,169,92,26
Very low (31-50%),-105.6831728,326.0156845,369.2296661,101.1265965,0,38.65740533,239.84,98.72,25.44,-13.6831728,132.4165915,104.19709034,19067,169,92,26
Low (51-80%),361.1454179,540.909702,117.5890657,62.17521846,0,0,239.84,98.72,25.44,387.1454179,33.23369565,28.426978391,19067,169,92,26
Middle (81-120%),245.3201882,264.2814251,18.96123684,,0,,239.84,98.72,25.44,245.3201882,7.174638487,7.17463851,19067,169,92,26
High (over 120%),77.020838,111.4156397,34.3948017,13.66972888,0,13.66972888,239.84,98.72,25.44,77.020838,30.8707124,30.8707124,19067,169,92,26
Extremely low (0-30% AMI),74.99936802,208.355593,113.5437118,29.32251949,9.51000632,0,79.26,67.38,19.36,117.99936802,64.00414938,43.366354452,19069,43,25,6
Very low (31-50%),10.44659785,145.3878239,108.7887087,31.91615757,0,5.763640194,79.26,67.38,19.36,35.44659785,92.81466799,75.619280281,19069,43,25,6
Low (51-80%),239.9835686,337.1729513,97.18938277,19.95660417,0,19.95660417,79.26,67.38,19.36,245.9835686,28.82478633,27.045284133,19069,43,25,6
Middle (81-120%),198.1251317,201.4392248,3.314093111,,0,,79.26,67.38,19.36,198.1251317,1.645207439,1.6452074333,19069,43,25,6
High (over 120%),93.58710765,104.970297,11.38318938,,0,,79.26,67.38,19.36,93.58710765,10.84420041,10.844200384,19069,43,25,6
Extremely low (0-30% AMI),122.1575942,198.0753712,72.08298439,3.834792539,0,0,62.36,36.4,10.24,176.1575942,38.32772166,11.06537217,19071,54,34,8
Very low (31-50%),-82.28130948,113.29311,164.2847354,42.73848496,3.807004187,7.641796726,62.36,36.4,10.24,-48.28130948,172.6269316,142.61628044,19071,54,34,8
Low (51-80%),27.62162162,123.1857632,97.78720975,2.167491435,2.223068139,2.167491435,62.36,36.4,10.24,35.62162162,77.57726145,71.083004485,19071,54,34,8
Middle (81-120%),70.88808527,81.41987058,5.863342216,4.668443091,0,0,62.36,36.4,10.24,70.88808527,12.93515358,12.935153587,19071,54,34,8
High (over 120%),53.68709555,53.68709555,1.028169014,,1.028169014,,62.36,36.4,10.24,53.68709555,0,0,19071,54,34,8
Extremely low (0-30% AMI),98.7079646,204.6298803,97.47631442,18.73867777,0,10.29307652,86.84,27.72,1.44,151.7079646,51.76268272,25.862261964,19073,53,18,1
Very low (31-50%),-20.05830297,261.7256637,162.6657991,120.6137428,1.495575221,0,86.84,27.72,1.44,-2.05830297,107.6638656,100.78643529,19073,53,18,1
Low (51-80%),199.6153045,310.3758459,113.5757418,28.4159292,31.23112962,0,86.84,27.72,1.44,200.6153045,35.68594104,35.36375103,19073,53,18,1
Middle (81-120%),159.4986986,174.1905258,29.11972931,,14.42790213,,86.84,27.72,1.44,159.4986986,8.434343434,8.4343434481,19073,53,18,1
High (over 120%),147.4461218,147.4461218,17.5950026,,17.5950026,,86.84,27.72,1.44,147.4461218,0,0,19073,53,18,1
Extremely low (0-30% AMI),42.76279756,118.7992416,64.73983569,16.71898041,5.422372024,0,21.12,11.88,0,54.76279756,64.00414938,53.903074782,19075,12,10,
Very low (31-50%),5.956393512,82.89656625,62.02864967,18.19780914,0,3.286286075,21.12,11.88,0,15.956393512,92.81466799,80.751442148,19075,12,10,
Low (51-80%),136.8327365,192.2477354,55.41499895,11.37876554,0,11.37876554,21.12,11.88,0,136.8327365,28.82478633,28.824786302,19075,12,10,
Middle (81-120%),112.9660838,114.8556983,1.889614493,,0,,21.12,11.88,0,112.9660838,1.645207439,1.6452074455,19075,12,10,
High (over 120%),53.36107015,59.85148515,6.490414999,,0,,21.12,11.88,0,53.36107015,10.84420041,10.844200413,19075,12,10,
Extremely low (0-30% AMI),88.0503178,174.9057203,72.44173729,16.65413136,2.240466102,0,85.49,15.45,2.06,161.0503178,49.65841161,7.9216405708,19077,73,12,1
Very low (31-50%),-8.289724576,171.7690678,152.7997881,34.42849576,0,7.169491525,85.49,15.45,2.06,3.710275424,104.826087,97.839962997,19077,73,12,1
Low (51-80%),44.0625,138.9835805,68.11016949,26.81091102,0,0,85.49,15.45,2.06,45.0625,68.29661472,67.577105268,19077,73,12,1
Middle (81-120%),144.286017,157.504767,13.21875,,0,,85.49,15.45,2.06,144.286017,8.392603129,8.3926031267,19077,73,12,1
High (over 120%),88.57309322,105.4512712,18.67055085,30.84375,1.792372881,30.84375,85.49,15.45,2.06,88.57309322,16.00566572,16.005665734,19077,73,12,1
Extremely low (0-30% AMI),149.3408469,414.8835054,226.0914262,58.38782389,18.93659153,0,68.06,13.94,0,204.3408469,64.00414938,50.747416024,19079,55,15,
Very low (31-50%),20.80155888,289.500316,216.6231304,63.55234885,0,11.47672214,68.06,13.94,0,35.80155888,92.81466799,87.633326494,19079,55,15,
Low (51-80%),477.8620181,671.3882452,193.5262271,39.73815041,0,39.73815041,68.06,13.94,0,477.8620181,28.82478633,28.824786326,19079,55,15,
Middle (81-120%),394.5123236,401.1114388,6.599115231,,0,,68.06,13.94,0,394.5123236,1.645207439,1.6452074316,19079,55,15,
High (over 120%),186.3532758,209.019802,22.66652623,,0,,68.06,13.94,0,186.3532758,10.84420041,10.844200398,19079,55,15,
Extremely low (0-30% AMI),129.5594891,261.4734484,129.1140489,2.799910374,0,0,21,7,0,145.5594891,50.4502312,44.331063062,19081,16,5,
Very low (31-50%),-45.75308089,141.1409366,159.8494286,43.78041676,0,16.73582792,21,7,0,-40.75308089,132.4165915,128.8740332,19081,16,5,
Low (51-80%),156.3495407,234.1743222,50.90746135,26.91732019,0,0,21,7,0,156.3495407,33.23369565,33.233695637,19081,16,5,
Middle (81-120%),106.2056912,114.4145194,8.208828143,,0,,21,7,0,106.2056912,7.174638487,7.1746385363,19081,16,5,
High (over 120%),33.34438718,48.23481963,14.89043245,5.917992382,0,5.917992382,21,7,0,33.34438718,30.8707124,30.870712411,19081,16,5,
Extremely low (0-30% AMI),119.5165368,332.0286497,180.9395408,46.72740678,15.15483463,0,53.8,16.2,0,157.5165368,64.00414938,52.559353856,19083,38,12,
Very low (31-50%),16.64735623,231.6852749,173.3621235,50.8605435,0,9.184748262,53.8,16.2,0,28.64735623,92.81466799,87.6352279,19083,38,12,
Low (51-80%),382.4299558,537.3077733,154.8778176,31.80219086,0,31.80219086,53.8,16.2,0,382.4299558,28.82478633,28.824786314,19083,38,12,
Middle (81-120%),315.7257215,321.0069518,5.281230251,,0,,53.8,16.2,0,315.7257215,1.645207439,1.6452074544,19083,38,12,
High (over 120%),149.1373499,167.2772277,18.13987782,,0,,53.8,16.2,0,149.1373499,10.84420041,10.844200403,19083,38,12,
Extremely low (0-30% AMI),297.8637229,482.9783023,175.7639893,9.350590027,0,0,254.3,51.4,5.3,509.8637229,38.32772166,-5.566589735,19085,212,56,5
Very low (31-50%),-200.6311382,276.2489532,400.5846974,104.2116483,9.282832128,18.63342216,254.3,51.4,5.3,-144.6311382,172.6269316,152.35536154,19085,212,56,5
Low (51-80%),67.35135135,300.3707651,238.4400457,5.285116102,5.4206319,5.285116102,254.3,51.4,5.3,72.35135135,77.57726145,75.912652043,19085,212,56,5
Middle (81-120%),172.8503997,198.5306433,14.29691664,11.38332699,0,0,254.3,51.4,5.3,172.8503997,12.93515358,12.935153573,19085,212,56,5
High (over 120%),130.9082604,130.9082604,2.507042254,,2.507042254,,254.3,51.4,5.3,130.9082604,0,0,19085,212,56,5
Extremely low (0-30% AMI),461.6033595,667.9088466,200.5173572,31.21455767,13.64344905,11.78297872,112.47,42.15,4.38,547.6033595,30.88826989,18.012261361,19087,86,29,4
Very low (31-50%),-78.55319149,477.1072788,458.5025756,144.7032475,0,47.54535274,112.47,42.15,4.38,-49.55319149,116.4644714,110.38617386,19087,86,29,4
Low (51-80%),-134.3673012,411.9908175,409.0967525,137.2613662,0,0,112.47,42.15,4.38,-130.3673012,132.6141495,131.64325409,19087,86,29,4
Middle (81-120%),448.1666293,448.1666293,0,,0,,112.47,42.15,4.38,448.1666293,0,0,19087,86,29,4
High (over 120%),310.9052632,310.9052632,,,,,112.47,42.15,4.38,310.9052632,0,0,19087,86,29,4
Extremely low (0-30% AMI),223.4607675,303.5137457,80.05297824,,0,,38,11,1,248.4607675,26.37540453,18.138545282,19089,25,7,1
Very low (31-50%),-188.8857388,224.1483391,357.2425544,73.17726231,17.38573883,0,38,11,1,-181.8857388,184.2681858,181.14525387,19089,25,7,1
Low (51-80%),194.6809851,248.4097938,53.72880871,,0,,38,11,1,195.6809851,21.62910241,21.226541793,19089,25,7,1
Middle (81-120%),166.0976518,166.0976518,,,,,38,11,1,166.0976518,0,0,19089,25,7,1
High (over 120%),84.9642039,84.9642039,9.233104238,,9.233104238,,38,11,1,84.9642039,0,0,19089,25,7,1
Extremely low (0-30% AMI),78.28881399,217.4939962,118.5236992,30.6085949,9.92711186,0,30.02,7.98,0,87.28881399,64.00414938,59.866104115,19091,9,6,
Very low (31-50%),10.90478197,151.7644828,113.5601433,33.31598905,0,6.01643143,30.02,7.98,0,16.90478197,92.81466799,88.861173802,19091,9,6,
Low (51-80%),250.5091637,351.9612387,101.452075,20.83189383,0,20.83189383,30.02,7.98,0,250.5091637,28.82478633,28.824786324,19091,9,6,
Middle (81-120%),206.8148304,210.2742785,3.459448073,,0,,30.02,7.98,0,206.8148304,1.645207439,1.6452074522,19091,9,6,
High (over 120%),97.69180535,109.5742574,11.88245208,,0,,30.02,7.98,0,97.69180535,10.84420041,10.844200392,19091,9,6,
Extremely low (0-30% AMI),37.67256637,78.09838626,37.2024987,7.151743883,0,3.928422697,51.48,21,3.52,80.67256637,51.76268272,-3.296073368,19093,43,17,3
Very low (31-50%),-7.655387819,99.88938053,62.08250911,46.0330557,0.57079646,0,51.48,21,3.52,9.344612181,107.6638656,90.645039411,19093,43,17,3
Low (51-80%),76.1845393,118.4570536,43.34695471,10.84513274,11.91957314,0,51.48,21,3.52,79.1845393,35.68594104,33.153377622,19093,43,17,3
Middle (81-120%),60.87376367,66.48099948,11.11374284,,5.506507028,,51.48,21,3.52,60.87376367,8.434343434,8.4343434272,19093,43,17,3
High (over 120%),56.27381572,56.27381572,6.715252473,,6.715252473,,51.48,21,3.52,56.27381572,0,0,19093,43,17,3
Extremely low (0-30% AMI),133.1616939,237.0955245,88.02213667,15.91169394,0,0,0.77,0.18,0.05,134.1616939,43.83626844,43.414497518,19095,1,2,
Very low (31-50%),4.062560154,222.876564,181.686718,37.12728585,0,0,0.77,0.18,0.05,6.062560154,98.17721519,97.279857494,19095,1,2,
Low (51-80%),72.33614052,328.3902791,179.7682868,76.28585178,0,0,0.77,0.18,0.05,72.33614052,77.97250859,77.97250859,19095,1,2,
Middle (81-120%),138.352743,158.7783927,18.28152069,2.14412897,0,0,0.77,0.18,0.05,138.352743,12.86425018,12.8642502,19095,1,2,
High (over 120%),177.511309,219.6039461,42.09263715,,0,,0.77,0.18,0.05,177.511309,19.16752312,19.167523101,19095,1,2,
Extremely low (0-30% AMI),527.0051315,566.1250802,39.11994869,,0,,265.02,77.62,5.36,717.0051315,6.910124645,-26.6513632,19097,190,49,9
Very low (31-50%),-332.1481719,390.456703,641.6414368,120.578576,22.9025016,16.71263631,265.02,77.62,5.36,-283.1481719,185.0665821,172.51717533,19097,190,49,9
Low (51-80%),58.67992303,488.1327774,429.4528544,,0,,265.02,77.62,5.36,67.67992303,87.97869642,86.134935787,19097,190,49,9
Middle (81-120%),157.7177678,174.0590122,29.33996151,,12.99871713,,265.02,77.62,5.36,157.7177678,9.388335704,9.3883357107,19097,190,49,9
High (over 120%),281.5150738,325.2155228,148.6805645,43.94804362,104.9801155,43.94804362,265.02,77.62,5.36,281.5150738,13.43738104,13.43738104,19097,190,49,9
Extremely low (0-30% AMI),756.4728102,1044.120985,287.6481752,,0,,179.06,101.84,8.1,959.4728102,27.54931461,8.1071232181,19099,203,89,10
Very low (31-50%),-158.834854,1246.940876,1341.892701,63.8830292,0,0,179.06,101.84,8.1,-69.834854,112.7379619,105.60049441,19099,203,89,10
Low (51-80%),541.434854,1417.993796,876.5589416,,0,,179.06,101.84,8.1,551.434854,61.816839,61.111617304,19099,203,89,10
Middle (81-120%),848.2828467,925.780292,77.49744526,,0,,179.06,101.84,8.1,848.2828467,8.371040724,8.3710407285,19099,203,89,10
High (over 120%),468.1264599,468.1264599,,81.33740876,,81.33740876,179.06,101.84,8.1,468.1264599,0,0,19099,203,89,10
Extremely low (0-30% AMI),276.108031,445.4698329,169.3618019,,0,,172.36,60.29,2.35,422.108031,38.01869159,5.2443061628,19101,146,53,2
Very low (31-50%),-2.831023237,467.951488,492.0984509,,21.31593967,,172.36,60.29,2.35,50.168976763,100.6049822,89.279021854,19101,146,53,2
Low (51-80%),186.5144721,404.6697921,218.15532,,0,,172.36,60.29,2.35,188.5144721,53.90946502,53.415234895,19101,146,53,2
Middle (81-120%),184.349572,236.6402365,52.29066449,,0,,172.36,60.29,2.35,184.349572,22.09711471,22.097114706,19101,146,53,2
High (over 120%),415.6608235,418.8249083,3.164084794,,0,,172.36,60.29,2.35,415.6608235,0.755467197,0.7554671982,19101,146,53,2
Extremely low (0-30% AMI),8694,9719,1025,,0,,1320.11,317.74,29.15,9714,10.54635251,0.051445622,19103,1020,237,18
Very low (31-50%),-3085,3268,6363,366,376,0,1320.11,317.74,29.15,-2848,194.4002448,187.14810282,19103,1020,237,18
Low (51-80%),-2356,2277,4633,,0,,1320.11,317.74,29.15,-2338,203.4694774,202.67896355,19103,1020,237,18
Middle (81-120%),1417,2762,1345,,0,,1320.11,317.74,29.15,1417,48.69659667,48.696596669,19103,1020,237,18
High (over 120%),3712,3988,276,,0,,1320.11,317.74,29.15,3712,6.920762287,6.9207622869,19103,1020,237,18
Extremely low (0-30% AMI),277.926894,403.349806,125.422912,,0,,131.44,42.59,2.97,364.926894,31.09531978,9.5259527657,19105,87,27,2
Very low (31-50%),-170.9863182,214.3753318,234.6367164,150.7249336,0,0,131.44,42.59,2.97,-143.9863182,179.7602582,167.16552553,19105,87,27,2
Low (51-80%),29.05779048,252.4272003,223.3694098,,0,,131.44,42.59,2.97,31.05779048,88.48864526,87.69633762,19105,87,27,2
Middle (81-120%),160.1143557,188.4802941,44.67388197,,16.30794364,,131.44,42.59,2.97,160.1143557,15.04981647,15.0498165,19105,87,27,2
High (over 120%),169.9979579,169.9979579,10.67429038,,10.67429038,,131.44,42.59,2.97,169.9979579,0,0,19105,87,27,2
Extremely low (0-30% AMI),76.03954342,122.6814105,46.6418671,,0,,36.08,5.52,0.4,120.03954342,38.01869159,2.1534371583,19107,44,8,
Very low (31-50%),-0.779657562,128.8728088,135.5228292,,5.870362821,,36.08,5.52,0.4,7.220342438,100.6049822,94.39731119,19107,44,8,
Low (51-80%),51.36567468,111.4451692,60.0794945,,0,,36.08,5.52,0.4,51.36567468,53.90946502,53.909465032,19107,44,8,
Middle (81-120%),50.76946596,65.17019976,14.4007338,,0,,36.08,5.52,0.4,50.76946596,22.09711471,22.097114714,19107,44,8,
High (over 120%),114.472075,115.343457,0.871381981,,0,,36.08,5.52,0.4,114.472075,0.755467197,0.755467213,19107,44,8,
Extremely low (0-30% AMI),164.6865337,332.3658974,164.1203227,3.559041004,0,0,117.88,42.63,6.49,248.6865337,50.4502312,25.176880166,19109,84,37,6
Very low (31-50%),-58.15796549,179.4080215,203.1888864,55.65045933,0,21.27335873,117.88,42.63,6.49,-21.15796549,132.4165915,111.79321042,19109,84,37,6
Low (51-80%),198.7400851,297.6652476,64.70983643,34.21532601,0,0,117.88,42.63,6.49,204.7400851,33.23369565,31.218008568,19109,84,37,6
Middle (81-120%),135.0008963,145.4353574,10.43446113,,0,,117.88,42.63,6.49,135.0008963,7.174638487,7.1746384693,19109,84,37,6
High (over 120%),42.38494286,61.31257002,18.92762716,7.522518485,0,7.522518485,117.88,42.63,6.49,42.38494286,30.8707124,30.870712407,19109,84,37,6
Extremely low (0-30% AMI),718.6609183,1039.853751,312.181411,48.59731243,21.24120941,18.34468085,410.78,145.68,46.54,1063.6609183,30.88826989,-2.289472657,19111,345,133,38
Very low (31-50%),-122.2978723,742.7986562,713.8333707,225.2855543,0,74.02239642,410.78,145.68,46.54,10.7021277,116.4644714,98.559215528,19111,345,133,38
Low (51-80%),-209.193729,641.4201568,636.9144457,213.6994401,0,0,410.78,145.68,46.54,-171.193729,132.6141495,126.68979563,19111,345,133,38
Middle (81-120%),697.7415454,697.7415454,0,,0,,410.78,145.68,46.54,697.7415454,0,0,19111,345,133,38
High (over 120%),484.0421053,484.0421053,,,,,410.78,145.68,46.54,484.0421053,0,0,19111,345,133,38
Extremely low (0-30% AMI),3220,5206,2138,,152,,1362.33,261.81,4.86,4480,38.14829043,13.945447561,19113,1260,293,13
Very low (31-50%),-3259,3625,4701,2448,265,0,1362.33,261.81,4.86,-2966,189.9034483,181.82068966,19113,1260,293,13
Low (51-80%),2297,5505,3050,158,0,0,1362.33,261.81,4.86,2310,58.27429609,58.038147139,19113,1260,293,13
Middle (81-120%),4535,4535,216,,216,,1362.33,261.81,4.86,4535,0,0,19113,1260,293,13
High (over 120%),2457,2708,369,,118,,1362.33,261.81,4.86,2457,9.268833087,9.2688330871,19113,1260,293,13
Extremely low (0-30% AMI),162.5363942,235.1791713,70.60470325,10.99104143,4.804031355,4.14893617,24.03,1.89,1.08,179.5363942,30.88826989,23.65973857,19115,17,2,1
Very low (31-50%),-27.65957447,167.9955207,161.4445689,50.9518477,0,16.74132139,24.03,1.89,1.08,-25.65957447,116.4644714,115.27396347,19115,17,2,1
Low (51-80%),-47.31243001,145.0671893,144.0481523,48.33146697,0,0,24.03,1.89,1.08,-46.31243001,132.6141495,131.92481376,19115,17,2,1
Middle (81-120%),157.8051512,157.8051512,0,,0,,24.03,1.89,1.08,157.8051512,0,0,19115,17,2,1
High (over 120%),109.4736842,109.4736842,,,,,24.03,1.89,1.08,109.4736842,0,0,19115,17,2,1
Extremely low (0-30% AMI),104.911017,208.3983051,86.31355932,19.84322034,2.669491525,0,107.92,65.96,8.12,182.911017,49.65841161,12.230084159,19117,78,54,7
Very low (31-50%),-9.877118644,204.661017,182.059322,41.02118644,0,8.542372881,107.92,65.96,8.12,44.122881356,104.826087,78.440993794,19117,78,54,7
Low (51-80%),52.5,165.5974576,81.15254237,31.94491525,0,0,107.92,65.96,8.12,59.5,68.29661472,64.06949668,19117,78,54,7
Middle (81-120%),171.9152542,187.6652542,15.75,,0,,107.92,65.96,8.12,171.9152542,8.392603129,8.3926031311,19117,78,54,7
High (over 120%),105.5338983,125.6440678,22.24576271,36.75,2.13559322,36.75,107.92,65.96,8.12,105.5338983,16.00566572,16.005665729,19117,78,54,7
Extremely low (0-30% AMI),45.73542354,70.67106711,20.19746975,4.738173817,0,0,80.52,22.28,7.2,97.73542354,35.28409091,-38.29623287,19119,52,15,6
Very low (31-50%),-19.87623762,105.2035204,90.14576458,34.9339934,0,0,80.52,22.28,7.2,-4.87623762,118.8931298,104.63505176,19119,52,15,6
Low (51-80%),51.71837184,91.39053905,30.55720572,14.73652365,5.621562156,0,80.52,22.28,7.2,57.71837184,43.40949033,36.844259329,19119,52,15,6
Middle (81-120%),63.64411441,63.64411441,,,,,80.52,22.28,7.2,63.64411441,0,0,19119,52,15,6
High (over 120%),66.69581958,69.22552255,15.05775578,,12.52805281,,80.52,22.28,7.2,66.69581958,3.654292343,3.6542923431,19119,52,15,6
Extremely low (0-30% AMI),155.8025547,215.0463504,59.24379562,,0,,63.58,22.82,4.6,213.8025547,27.54931461,0.5783849378,19121,58,18,4
Very low (31-50%),-32.71350365,256.8189781,276.3751825,13.15729927,0,0,63.58,22.82,4.6,-14.71350365,112.7379619,105.7291341,19121,58,18,4
Low (51-80%),111.5135037,292.0489051,180.5354015,,0,,63.58,22.82,4.6,115.5135037,61.816839,60.447205354,19121,58,18,4
Middle (81-120%),174.7116788,190.6729927,15.96131387,,0,,63.58,22.82,4.6,174.7116788,8.371040724,8.3710407405,19121,58,18,4
High (over 120%),96.4149635,96.4149635,,16.75218978,,16.75218978,63.58,22.82,4.6,96.4149635,0,0,19121,58,18,4
Extremely low (0-30% AMI),359.582552,580.1467591,220.5642071,,0,,224.7,66.56,18.74,497.582552,38.01869159,14.231607055,19123,138,47,17
Very low (31-50%),-3.686913983,609.4251936,640.8724011,,27.76029352,,224.7,66.56,18.74,43.313086017,100.6049822,92.892796939,19123,138,47,17
Low (51-80%),242.9025683,527.0118223,284.109254,,0,,224.7,66.56,18.74,259.9025683,53.90946502,50.683730933,19123,138,47,17
Middle (81-120%),240.0831635,308.1826335,68.09947004,,0,,224.7,66.56,18.74,240.0831635,22.09711471,22.097114697,19123,138,47,17
High (over 120%),541.3257236,545.4463922,4.120668569,,0,,224.7,66.56,18.74,541.3257236,0.755467197,0.7554672024,19123,138,47,17
Extremely low (0-30% AMI),400.5786496,552.8983577,152.319708,,0,,260.23,61.05,13.72,614.5786496,27.54931461,-11.15581029,19125,214,71,13
Very low (31-50%),-84.10857664,660.2985402,710.5788321,33.82828467,0,0,260.23,61.05,13.72,-13.10857664,112.7379619,101.98524998,19125,214,71,13
Low (51-80%),286.7085766,750.8770073,464.1684307,,0,,260.23,61.05,13.72,299.7085766,61.816839,60.085530162,19125,214,71,13
Middle (81-120%),449.1952555,490.2328467,41.03759124,,0,,260.23,61.05,13.72,449.1952555,8.371040724,8.3710407159,19125,214,71,13
High (over 120%),247.8892336,247.8892336,,43.0709854,,43.0709854,260.23,61.05,13.72,247.8892336,0,0,19125,214,71,13
Extremely low (0-30% AMI),466.2078922,830.087103,308.1713186,55.7078922,0,0,243.52,74.64,9.84,632.2078922,43.83626844,23.838367092,19127,166,73,17
Very low (31-50%),14.22329163,780.3055823,636.0972089,129.9850818,0,0,243.52,74.64,9.84,87.22329163,98.17721519,88.82190598,19127,166,73,17
Low (51-80%),253.2536092,1149.716073,629.3806545,267.0818094,0,0,243.52,74.64,9.84,270.2536092,77.97250859,76.49388266,19127,166,73,17
Middle (81-120%),484.3820982,555.8936477,64.00481232,7.506737247,0,0,243.52,74.64,9.84,484.3820982,12.86425018,12.864250167,19127,166,73,17
High (over 120%),621.4788258,768.8479307,147.3691049,,0,,243.52,74.64,9.84,621.4788258,19.16752312,19.167523123,19127,166,73,17
Extremely low (0-30% AMI),157.8566172,255.9604111,93.14833143,4.955462505,0,0,117.42,34.28,2.3,258.8566172,38.32772166,-1.131505489,19129,101,28,1
Very low (31-50%),-106.326989,146.4015988,212.2948864,55.22827052,4.919553356,9.875015861,117.42,34.28,2.3,-78.326989,172.6269316,153.50145739,19129,101,28,1
Low (51-80%),35.69369369,159.1852557,126.3642939,2.80091359,2.872731887,2.80091359,117.42,34.28,2.3,36.69369369,77.57726145,76.949062569,19129,101,28,1
Middle (81-120%),91.60423804,105.2138054,7.576830352,6.032736962,0,0,117.42,34.28,2.3,91.60423804,12.93515358,12.935153622,19129,101,28,1
High (over 120%),69.37647507,69.37647507,1.328638498,,1.328638498,,117.42,34.28,2.3,69.37647507,0,0,19129,101,28,1
Extremely low (0-30% AMI),109.4868922,220.9634775,109.1104638,2.366121443,0,0,26.1,2.9,0,135.4868922,50.4502312,38.683580774,19131,26,2,1
Very low (31-50%),-38.6645754,119.2740309,135.0840242,36.99753529,0,14.14295317,26.1,2.9,0,-36.6645754,132.4165915,130.73978059,19131,26,2,1
Low (51-80%),132.1263724,197.8937934,43.02038987,22.74703115,0,0,26.1,2.9,0,133.1263724,33.23369565,32.728374088,19131,26,2,1
Middle (81-120%),89.75128837,96.68832624,6.937037867,,0,,26.1,2.9,0,89.75128837,7.174638487,7.1746384903,19131,26,2,1
High (over 120%),28.17835537,40.7618194,12.58346404,5.001120323,0,5.001120323,26.1,2.9,0,28.17835537,30.8707124,30.870712385,19131,26,2,1
